Frame,Time (s),Knee Angle (deg),Hip Angle (deg),Feedback
401,13.37,175.8,177.1,
402,13.4,162.5,179.9,
403,13.43,167.5,173.4,
404,13.47,163.6,177.4,
405,13.5,162.9,179.6,
406,13.53,165.7,171.8,
407,13.57,168.1,175.0,
408,13.6,169.3,177.6,
409,13.63,166.1,177.5,
410,13.67,160.7,178.2,
411,13.7,158.0,176.9,
412,13.73,156.7,176.1,
413,13.77,156.7,178.3,
414,13.8,156.1,180.0,
415,13.83,156.0,177.4,
416,13.87,156.0,179.1,
417,13.9,154.9,173.9,
418,13.93,158.2,171.1,
419,13.97,152.5,167.6,
420,14.0,154.4,170.6,
421,14.03,155.9,173.0,
422,14.07,155.2,173.1,
423,14.1,151.9,171.1,
424,14.13,151.7,170.7,
425,14.17,151.7,170.7,
426,14.2,153.7,170.7,
